,Sample Number,Sample Date,Sample Time,Sample Site,Sample class,Residual Free Chlorine (mg/L),Turbidity (NTU),Fluoride (mg/L),Coliform (Quanti-Tray) (MPN /100mL),E.coli(Quanti-Tray) (MPN/100mL)
0,202120243,07/01/2021,10:31,23650,Compliance,0.22,0.84,0,<1,<1
1,202120244,07/01/2021,09:54,29550,Compliance,0.69,0.81,0,<1,<1
2,202120245,07/01/2021,07:52,50200,Operational,0.55,0.77,0,<1,<1
3,202120246,07/01/2021,08:12,50250,Compliance,0.87,0.81,0,<1,<1
4,202120247,07/01/2021,08:31,50300,Operational,0.8,0.84,0,<1,<1
5,202120248,07/01/2021,07:25,50650,Compliance,0.78,0.82,0,<1,<1
6,202120249,07/01/2021,09:09,51150,Compliance,0.6,0.81,0,<1,<1
7,202120266,07/01/2021,12:49,40200,Operational,0.91,0.78,0,<1,<1
8,202120267,07/01/2021,11:41,41150,Compliance,0.52,0.71,0,<1,<1
9,202120268,07/01/2021,10:48,41850,Compliance,0.71,0.76,0,<1,<1
10,202120269,07/01/2021,12:13,43750,Compliance,0.46,0.69,0,<1,<1
11,202120270,07/01/2021,11:15,44750,Compliance,0.35,0.74,0,<1,<1
12,202120271,07/01/2021,10:01,76650,Compliance,0.19,0.67,0,<1,<1
13,202120272,07/01/2021,08:58,78050,Compliance,0.17,0.69,0,<1,<1
14,202120273,07/01/2021,08:18,78850,Compliance,0.55,3.89,0,1,<1
15,202120274,07/01/2021,10:07,11550,Compliance,0.85,0.72,0,<1,<1
16,202120275,07/01/2021,07:24,13850,Compliance,0.66,0.79,0,<1,<1
17,202120276,07/01/2021,07:52,15550,Compliance,0.59,0.72,0,<1,<1
18,202120277,07/01/2021,08:18,1S03,Operational,0.72,0.72,0.71,<1,<1
19,202120278,07/01/2021,09:41,1S03A,Operational,0.92,0.78,0.73,<1,<1
20,202120279,07/01/2021,09:17,1S03B,Operational,0.72,0.76,0.72,11.1,<1
